GPS,PlusPoint,Avail
"33.904524,-116.316315",8555WM3M+RF,nope
"33.904524,-116.116315",8555WV3M+RF,nope
"33.904524,-116.516315",8555WF3M+RF,nope
"33.904524,-115.916315",8556W33M+RF,nope
"33.904524,-116.71631500000001",8555W73M+RF,nope
"33.904524,-115.716315",8556W73M+RF,nope
"33.904524,-116.91631500000001",8555W33M+RF,nope
"33.904524,-115.51631499999999",8556WF3M+RF,nope
"33.904524,-117.11631500000001",8554WV3M+RF,nope
"33.904524,-115.31631499999999",8556WM3M+RF,nope
"33.904524,-117.31631500000002",8554WM3M+RF,nope
"33.904524,-115.11631499999999",8556WV3M+RF,nope
"33.904524,-117.51631500000002",8554WF3M+RF,nope
"34.000524,-116.316315",85652M2M+6F,nope
"34.000524,-116.116315",85652V2M+6F,nope
"34.000524,-116.516315",85652F2M+6F,nope
"34.000524,-115.916315",8566232M+6F,nope
"34.000524,-116.71631500000001",8565272M+6F,nope
"34.000524,-115.716315",8566272M+6F,nope
"34.000524,-116.91631500000001",8565232M+6F,nope
"34.000524,-115.51631499999999",85662F2M+6F,85662F2M+6F
"34.000524,-117.11631500000001",85642V2M+6F,nope
"34.000524,-115.31631499999999",85662M2M+6F,nope
"34.000524,-117.31631500000002",85642M2M+6F,nope
"34.000524,-115.11631499999999",85662V2M+6F,nope
"34.000524,-117.51631500000002",85642F2M+6F,nope
"33.808524000000006,-116.316315",8555RM5M+CF,nope
"33.808524000000006,-116.116315",8555RV5M+CF,nope
"33.808524000000006,-116.516315",8555RF5M+CF,nope
"33.808524000000006,-115.916315",8556R35M+CF,nope
"33.808524000000006,-116.71631500000001",8555R75M+CF,nope
"33.808524000000006,-115.716315",8556R75M+CF,nope
"33.808524000000006,-116.91631500000001",8555R35M+CF,nope
"33.808524000000006,-115.51631499999999",8556RF5M+CF,nope
"33.808524000000006,-117.11631500000001",8554RV5M+CF,nope
"33.808524000000006,-115.31631499999999",8556RM5M+CF,nope
"33.808524000000006,-117.31631500000002",8554RM5M+CF,nope
"33.808524000000006,-115.11631499999999",8556RV5M+CF,nope
"33.808524000000006,-117.51631500000002",8554RF5M+CF,nope
"34.096523999999995,-116.316315",85653MWM+JF,nope
"34.096523999999995,-116.116315",85653VWM+JF,nope
"34.096523999999995,-116.516315",85653FWM+JF,nope
"34.096523999999995,-115.916315",856633WM+JF,nope
"34.096523999999995,-116.71631500000001",856537WM+JF,nope
"34.096523999999995,-115.716315",856637WM+JF,nope
"34.096523999999995,-116.91631500000001",856533WM+JF,nope
"34.096523999999995,-115.51631499999999",85663FWM+JF,nope
"34.096523999999995,-117.11631500000001",85643VWM+JF,nope
"34.096523999999995,-115.31631499999999",85663MWM+JF,nope
"34.096523999999995,-117.31631500000002",85643MWM+JF,nope
"34.096523999999995,-115.11631499999999",85663VWM+JF,85663VWM+JF
"34.096523999999995,-117.51631500000002",85643FWM+JF,nope
"33.71252400000001,-116.316315",8555PM7M+2F,nope
"33.71252400000001,-116.116315",8555PV7M+2F,nope
"33.71252400000001,-116.516315",8555PF7M+2F,nope
"33.71252400000001,-115.916315",8556P37M+2F,nope
"33.71252400000001,-116.71631500000001",8555P77M+2F,nope
"33.71252400000001,-115.716315",8556P77M+2F,nope
"33.71252400000001,-116.91631500000001",8555P37M+2F,nope
"33.71252400000001,-115.51631499999999",8556PF7M+2F,nope
"33.71252400000001,-117.11631500000001",8554PV7M+2F,nope
"33.71252400000001,-115.31631499999999",8556PM7M+2F,nope
"33.71252400000001,-117.31631500000002",8554PM7M+2F,nope
"33.71252400000001,-115.11631499999999",8556PV7M+2F,nope
"33.71252400000001,-117.51631500000002",8554PF7M+2F,nope
"34.19252399999999,-116.316315",85655MVM+2F,nope
"34.19252399999999,-116.116315",85655VVM+2F,nope
"34.19252399999999,-116.516315",85655FVM+2F,nope
"34.19252399999999,-115.916315",856653VM+2F,nope
"34.19252399999999,-116.71631500000001",856557VM+2F,nope
"34.19252399999999,-115.716315",856657VM+2F,nope
"34.19252399999999,-116.91631500000001",856553VM+2F,nope
"34.19252399999999,-115.51631499999999",85665FVM+2F,nope
"34.19252399999999,-117.11631500000001",85645VVM+2F,nope
"34.19252399999999,-115.31631499999999",85665MVM+2F,nope
"34.19252399999999,-117.31631500000002",85645MVM+2F,nope
"34.19252399999999,-115.11631499999999",85665VVM+2F,nope
"34.19252399999999,-117.51631500000002",85645FVM+2F,nope
"33.61652400000001,-116.316315",8555JM8M+JF,nope
"33.61652400000001,-116.116315",8555JV8M+JF,nope
"33.61652400000001,-116.516315",8555JF8M+JF,nope
"33.61652400000001,-115.916315",8556J38M+JF,nope
"33.61652400000001,-116.71631500000001",8555J78M+JF,nope
"33.61652400000001,-115.716315",8556J78M+JF,nope
"33.61652400000001,-116.91631500000001",8555J38M+JF,nope
"33.61652400000001,-115.51631499999999",8556JF8M+JF,nope
"33.61652400000001,-117.11631500000001",8554JV8M+JF,nope
"33.61652400000001,-115.31631499999999",8556JM8M+JF,nope
"33.61652400000001,-117.31631500000002",8554JM8M+JF,nope
"33.61652400000001,-115.11631499999999",8556JV8M+JF,nope
"33.61652400000001,-117.51631500000002",8554JF8M+JF,nope
"34.28852399999999,-116.316315",85657MQM+CF,nope
"34.28852399999999,-116.116315",85657VQM+CF,nope
"34.28852399999999,-116.516315",85657FQM+CF,nope
"34.28852399999999,-115.916315",856673QM+CF,856673QM+CF
"34.28852399999999,-116.71631500000001",856577QM+CF,nope
"34.28852399999999,-115.716315",856677QM+CF,856677QM+CF
"34.28852399999999,-116.91631500000001",856573QM+CF,nope
"34.28852399999999,-115.51631499999999",85667FQM+CF,85667FQM+CF
"34.28852399999999,-117.11631500000001",85647VQM+CF,nope
"34.28852399999999,-115.31631499999999",85667MQM+CF,85667MQM+CF
"34.28852399999999,-117.31631500000002",85647MQM+CF,nope
"34.28852399999999,-115.11631499999999",85667VQM+CF,nope
"34.28852399999999,-117.51631500000002",85647FQM+CF,nope
"33.520524000000016,-116.316315",8555GMCM+6F,nope
"33.520524000000016,-116.116315",8555GVCM+6F,nope
"33.520524000000016,-116.516315",8555GFCM+6F,nope
"33.520524000000016,-115.916315",8556G3CM+6F,nope
"33.520524000000016,-116.71631500000001",8555G7CM+6F,nope
"33.520524000000016,-115.716315",8556G7CM+6F,nope
"33.520524000000016,-116.91631500000001",8555G3CM+6F,nope
"33.520524000000016,-115.51631499999999",8556GFCM+6F,nope
"33.520524000000016,-117.11631500000001",8554GVCM+6F,nope
"33.520524000000016,-115.31631499999999",8556GMCM+6F,nope
"33.520524000000016,-117.31631500000002",8554GMCM+6F,nope
"33.520524000000016,-115.11631499999999",8556GVCM+6F,nope
"33.520524000000016,-117.51631500000002",8554GFCM+6F,nope
"34.384523999999985,-116.316315",85659MMM+RF,nope
"34.384523999999985,-116.116315",85659VMM+RF,nope
"34.384523999999985,-116.516315",85659FMM+RF,nope
"34.384523999999985,-115.916315",856693MM+RF,nope
"34.384523999999985,-116.71631500000001",856597MM+RF,nope
"34.384523999999985,-115.716315",856697MM+RF,nope
"34.384523999999985,-116.91631500000001",856593MM+RF,nope
"34.384523999999985,-115.51631499999999",85669FMM+RF,85669FMM+RF
"34.384523999999985,-117.11631500000001",85649VMM+RF,nope
"34.384523999999985,-115.31631499999999",85669MMM+RF,85669MMM+RF
"34.384523999999985,-117.31631500000002",85649MMM+RF,nope
"34.384523999999985,-115.11631499999999",85669VMM+RF,nope
"34.384523999999985,-117.51631500000002",85649FMM+RF,nope
"33.42452400000002,-116.316315",8555CMFM+RF,nope
"33.42452400000002,-116.116315",8555CVFM+RF,nope
"33.42452400000002,-116.516315",8555CFFM+RF,nope
"33.42452400000002,-115.916315",8556C3FM+RF,nope
"33.42452400000002,-116.71631500000001",8555C7FM+RF,nope
"33.42452400000002,-115.716315",8556C7FM+RF,nope
"33.42452400000002,-116.91631500000001",8555C3FM+RF,nope
"33.42452400000002,-115.51631499999999",8556CFFM+RF,nope
"33.42452400000002,-117.11631500000001",8554CVFM+RF,nope
"33.42452400000002,-115.31631499999999",8556CMFM+RF,nope
"33.42452400000002,-117.31631500000002",8554CMFM+RF,nope
"33.42452400000002,-115.11631499999999",8556CVFM+RF,nope
"33.42452400000002,-117.51631500000002",8554CFFM+RF,nope
"34.48052399999998,-116.316315",8565FMJM+6F,nope
"34.48052399999998,-116.116315",8565FVJM+6F,nope
"34.48052399999998,-116.516315",8565FFJM+6F,nope
"34.48052399999998,-115.916315",8566F3JM+6F,nope
"34.48052399999998,-116.71631500000001",8565F7JM+6F,nope
"34.48052399999998,-115.716315",8566F7JM+6F,nope
"34.48052399999998,-116.91631500000001",8565F3JM+6F,nope
"34.48052399999998,-115.51631499999999",8566FFJM+6F,nope
"34.48052399999998,-117.11631500000001",8564FVJM+6F,nope
"34.48052399999998,-115.31631499999999",8566FMJM+6F,nope
"34.48052399999998,-117.31631500000002",8564FMJM+6F,nope
"34.48052399999998,-115.11631499999999",8566FVJM+6F,8566FVJM+6F
"34.48052399999998,-117.51631500000002",8564FFJM+6F,nope
"33.32852400000002,-116.316315",85558MHM+CF,nope
"33.32852400000002,-116.116315",85558VHM+CF,nope
"33.32852400000002,-116.516315",85558FHM+CF,nope
"33.32852400000002,-115.916315",855683HM+CF,nope
"33.32852400000002,-116.71631500000001",855587HM+CF,nope
"33.32852400000002,-115.716315",855687HM+CF,nope
"33.32852400000002,-116.91631500000001",855583HM+CF,nope
"33.32852400000002,-115.51631499999999",85568FHM+CF,nope
"33.32852400000002,-117.11631500000001",85548VHM+CF,nope
"33.32852400000002,-115.31631499999999",85568MHM+CF,nope
"33.32852400000002,-117.31631500000002",85548MHM+CF,nope
"33.32852400000002,-115.11631499999999",85568VHM+CF,nope
"33.32852400000002,-117.51631500000002",85548FHM+CF,nope
